"Event","White","Black","Result","UTCDate","UTCTime","WhiteElo","BlackElo","WhiteRatingDiff","BlackRatingDiff","ECO","Opening","TimeControl","Termination","AN"
" Blitz ","tino223","RampingUp","0-1","2016.07.01","13:09:33","1482","1541","-9.0","9.0","B06","Pterodactyl Defense: Western, Rhamphorhynchus","0+5","Time forfeit","1. e4 c5 2. Nf3 g6 3. d4 Bg7 4. dxc5 Qa5+ 0-1"
" Classical ","kowabounga","IngGio","1-0","2016.07.01","13:09:28","1357","1447","14.0","-14.0","B20","Sicilian Defense","360+6","Normal","1. e4 c5 2. d3 d6 3. Nc3 Nf6 4. Nf3 e6 5. Bg5 Be7 6. Qd2 d5 7. e5 Ng4 8. Be2 d4 9. Nb5 Nc6 10. c3 Ncxe5 11. cxd4 Nxf3+ 12. Bxf3 Bxg5 13. Qc3 cxd4 14. Nxd4 O-O 15. Bxg4 Bf6 16. O-O Bxd4 17. Qc4 Bxb2 18. Rab1 Bf6 19. g3 b6 20. Rfe1 Bd7 21. h4 Rc8 22. Qf4 e5 23. Qe4 Bxg4 24. Qxg4 Qxd3 25. h5 h6 26. Rb2 e4 27. Rxe4 Bxb2 28. Re7 Rc1+ 29. Kg2 Bd4 30. Kh3 Rh1+ 31. Kg2 Re1 32. Rxe1 f5 33. Qg6 f4 34. Qe6+ Rf7 35. Qc8+ Rf8 36. Qe6+ Rf7 37. g4 f3+ 38. Kg3 Bxf2+ 39. Kxf2 Qd4+ 40. Kg3 f2 41. Rf1 Qd3+ 42. Kg2 Qc2 43. g5 hxg5 44. h6 gxh6 45. Rxf2 Kg7 46. Qxf7+ Kh8 47. Qf8+ Kh7 48. Kg3 Qc3+ 49. Rf3 Qc7+ 50. Kg4 Qd7+ 51. Kh5 Qh3+ 52. Rxh3 1-0"
" Classical ","landofchess","TryMyBest","1-0","2016.07.01","13:09:33","1903","1872","10.0","-9.0","B07","Pirc Defense #4","480+0","Normal","1. e4 d6 2. Bc4 h6 3. Nf3 c6 4. d4 b5 5. Bb3 Bg4 6. O-O e6 7. Bf4 Qf6 8. Be3 d5 9. exd5 cxd5 10. Nbd2 Be7 11. c3 Nc6 12. a4 b4 13. cxb4 Nxb4 14. h3 Bh5 15. g4 Bg6 16. Ne5 Be4 17. Nxe4 dxe4 18. f4 Qh4 19. Kh2 Nf6 20. a5 O-O 21. Bf2 Nxg4+ 22. Nxg4 Qh5 23. Nf6+ Bxf6 24. Qxh5 Rad8 25. Rad1 Nc6 26. a6 Be7 27. d5 Na5 28. Ba2 exd5 29. Bxd5 Bd6 30. Bxf7+ Rxf7 31. Qxa5 Rdd7 32. Bg3 e3 33. Rde1 Bc7 34. Qc5 Rd2+ 35. Kg1 e2 36. Rf2 Rd1 37. Rxe2 Rxe1+ 38. Rxe1 Bb6 39. Rc1 Bxc5+ 40. Rxc5 Rf6 41. Rc8+ Kh7 42. b4 Rxa6 43. Rc4 Ra1+ 44. Kf2 Rb1 45. Kf3 Kg6 46. Kg4 h5+ 47. Kh4 Kh6 48. f5 Rf1 49. Rc5 Rb1 50. b5 a5 51. bxa6 Rb4+ 52. Bf4+ Rxf4+ 53. Kg3 Ra4 54. Rc6+ Kg5 55. Rg6+ Kxf5 56. Rxg7 Rxa6 57. h4 Ra3+ 58. Kg2 Kf4 59. Rg5 Ra2+ 60. Kf1 Kf3 61. Ke1 Ke3 62. Kd1 Kd3 63. Kc1 Kc3 64. Kb1 Rh2 65. Rxh5 Kb3 66. Kc1 Kc3 67. Kd1 Kd3 68. Ke1 Ke3 69. Kf1 Kf3 70. Ke1 Ke3 71. Kf1 Kf3 72. Kg1 Ra2 73. Rh8 Kg3 74. Kf1 Kf3 75. Ke1 Ke3 76. Kd1 Kd3 77. Kc1 Kc3 78. Kb1 Kb3 79. Rb8+ Ka3 80. Ra8+ Kb3 81. Rxa2 Kb4 82. Rh2 Kc5 83. h5 Kd6 84. h6 Ke7 85. h7 Kf8 86. h8=Q+ Kf7 87. Qh5+ 1-0"
" Bullet ","davicillus","vasjpr","0-1","2016.07.01","13:09:30","1307","1520","-6.0","5.0","B01","Scandinavian Defense","120+0","Normal","1. e4 { [%eval 0.21] } 1... d5 { [%eval 0.56] } 2. Nc3?! { [%eval -0.2] } 2... dxe4 { [%eval 0.26] } 3. Nxe4 { [%eval 0.2] } 3... Nd7 { [%eval 0.39] } 4. d3 { [%eval 0.07] } 4... Ngf6 { [%eval 0.02] } 5. Bg5 { [%eval -0.02] } 5... g6 { [%eval 0.1] } 6. Bxf6 { [%eval -0.32] } 6... Nxf6 { [%eval -0.28] } 7. Nxf6+ { [%eval -0.27] } 7... exf6 { [%eval -0.3] } 8. Be2 { [%eval -0.31] } 8... Bg7 { [%eval -0.27] } 9. Nf3 { [%eval -0.29] } 9... O-O { [%eval -0.22] } 10. O-O { [%eval -0.27] } 10... b6 { [%eval -0.21] } 11. Re1 { [%eval -0.22] } 11... Bb7 { [%eval -0.22] } 12. c4?! { [%eval -0.94] } 12... a6?! { [%eval -0.43] } 13. Rc1 { [%eval -0.7] } 13... b5 { [%eval -0.26] } 14. b3 { [%eval -0.3] } 14... c6 { [%eval -0.12] } 15. cxb5 { [%eval -0.51] } 15... cxb5 { [%eval -0.6] } 16. a3 { [%eval -0.86] } 16... Qd5 { [%eval -0.89] } 17. b4 { [%eval -0.93] } 17... f5 { [%eval -0.87] } 18. Qc2 { [%eval -1.19] } 18... Rac8 { [%eval -1.27] } 19. Qb2?? { [%eval -14.16] } 19... Bxb2 { [%eval -14.06] } 20. Rc2 { [%eval -21.96] } 20... Bxa3 { [%eval -15.85] } 0-1"
" Bullet ","vinclwd","salazer","0-1","2016.07.01","13:09:35","1539","1642","-7.0","8.0","C22","Center Game: Paulsen Attack Variation","120+1","Normal","1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qe3 d6 5. Nc3 Nf6 6. Nf3 Be7 7. Bd3 Nb4 8. O-O c5 9. a3 Nc6 10. b3 O-O 11. Bb2 h6 12. Nd5 Ng4 13. Qe2 Nce5 14. Nxe5 Nxe5 15. c4 Bf6 16. Rab1 Be6 17. Bc2 Bxd5 18. exd5 Qc8 19. Qe4 Ng6 20. f4 Bxb2 21. Rxb2 f5 22. Qf3 Qd8 23. Bb1 Qf6 24. Rbf2 Rae8 25. Bc2 Re7 26. h3 Rfe8 27. g4 Re3 28. Qg2 Nh4 29. Qh1 fxg4 30. hxg4 Rg3+ 31. Kh2 Rxg4 32. Rg1 Rxf4 33. Rg3 Rxf2+ 34. Kg1 Re1# 0-1"
" Classical ","Capecitabinum","Tamir100","0-1","2016.07.01","13:09:30","1846","1816","-11.0","12.0","C40","Elephant Gambit","300+8","Normal","1. e4 e5 2. Nf3 d5 3. exd5 Qxd5 4. Nc3 Qe6 5. Bb5+ c6 6. Ba4 b5 7. Bb3 Qe7 8. Qe2 Nd7 9. O-O f6 10. Re1 Bb7 11. d4 O-O-O 12. dxe5 Nxe5 13. Nxe5 fxe5 14. Qxe5 Qxe5 15. Rxe5 Bb4 16. Bg5 Nf6 17. Ne4 Rhf8 18. Nc5 Bxc5 19. Rxc5 h6 20. Be6+ Kb8 21. Bf4+ Ka8 22. f3 g5 23. Bg3 Nh5 24. Bf2 Nf4 25. Bb3 Rf6 26. a4 Rfd6 27. g3 Rd1+ 28. Rxd1 Rxd1+ 29. Be1 Rxe1+ 30. Kf2 Re2+ 31. Kf1 Rxh2 32. gxf4 gxf4 33. axb5 cxb5 34. Rxb5 a6 35. Rf5 Rh4 36. Rf8+ Ka7 37. Rf7 Kb6 38. Rf6+ Kc5 39. Kg2 Kd4 40. Rb6 Bc8 41. Rd6+ Ke3 42. Rd3+ Ke2 43. Bd5 Rh5 44. Rd4 Rg5+ 45. Kh2 Ke3 46. Rc4 Bf5 47. Be4 Bxe4 48. fxe4 f3 49. Rc3+ Ke2 0-1"
" Bullet ","c48","noname_man","1-0","2016.07.01","13:09:34","1746","1148","2.0","-3.0","C40","King's Pawn Game: McConnell Defense","120+0","Time forfeit","1. e4 e5 2. Nf3 Qf6 3. Nc3 c6 4. d4 d6 5. dxe5 dxe5 6. Be3 Nd7 7. Qd3 Bb4 8. O-O-O Ne7 9. a3 Bxc3 10. Qxc3 O-O 11. h3 Ng6 12. g3 Nb6 13. Be2 Na4 14. Qd3 Be6 15. Qd6 Rad8 16. Qc7 Qe7 17. Qa5 b5 18. Qb4 Qxb4 19. axb4 Rxd1+ 20. Bxd1 Rd8 21. Bxa7 Ne7 22. Nxe5 Nc8 23. Be3 1-0"
" Classical ","fedecar","lapoz25","0-1","2016.07.01","13:09:39","1516","1502","-12.0","12.0","B01","Scandinavian Defense","900+0","Normal","1. e4 d5 2. e5 d4 3. Bc4 Bf5 4. d3 h6 5. Qh5 e6 6. Nf3 g5 7. Nxg5 Bg6 8. Qf3 hxg5 9. Qxb7 Nd7 10. Qc6 g4 11. Bg5 Be7 12. Bxe7 Nxe7 13. Qa6 O-O 14. Bxe6 fxe6 15. Qxe6+ Bf7 16. Qxg4+ Ng6 17. Nd2 Nxe5 18. Qf5 Qe7 19. O-O-O Qe6 20. Qe4 c5 21. f4 Ng4 22. f5 Qxe4 23. Nxe4 Bd5 24. fxg6 Bxe4 25. dxe4 Nf2 26. g7 Kxg7 27. Rhf1 Nxd1 28. Rxd1 Rf2 29. c4 Rxg2 30. Rh1 Rb8 31. a4 Rbxb2 32. h4 Rbc2+ 33. Kd1 Rxc4 34. h5 Rxa4 35. h6+ Kh7 36. e5 c4 37. Rf1 Ra6 38. Rf6 Rxf6 39. exf6 Rf2 40. Ke1 Rxf6 41. Kd2 0-1"
" Bullet ","nader48","TronaldDump","0-1","2016.07.01","13:09:39","1524","1534","-11.0","12.0","A46","Torre Attack","120+0","Time forfeit","1. d4 Nf6 2. Bg5 e6 3. Nf3 Be7 4. e3 O-O 5. Bd3 d5 6. O-O Nbd7 7. Nbd2 h6 8. Bh4 g5 9. Bg3 Nh5 10. c4 Nxg3 11. fxg3 f5 12. c5 c6 13. Qc2 Nf6 14. h3 Qe8 15. Ne5 Ne4 16. Bxe4 dxe4 17. Ndc4 Bd7 18. g4 b5 19. Nd6 Bxd6 20. cxd6 Rf6 21. gxf5 exf5 22. Rf2 Rxd6 23. Nxd7 Qxd7 24. Raf1 Rf6 25. Qb3+ Kg7 26. g4 Raf8 27. Qb4 f4 28. exf4 gxf4 29. h4 f3 30. g5 Qg4+ 31. Kh1 Qxh4+ 32. Rh2 Qxg5 33. Rg1 f2 34. Rxg5+ hxg5 35. Rxf2 Rxf2 36. Qe7+ Kg6 37. Qe5 Rh8+ 0-1"
" Classical ","Dranger","Phil-91","0-1","2016.07.01","13:09:40","1453","1452","-104.0","9.0","D00","Queen's Pawn Game","1200+5","Normal","1. d4 d5 2. g3 Nf6 3. Bg2 e6 4. Bf4 c5 5. e4 cxd4 6. exd5 Nbd7 7. Qxd4 Bc5 8. Qc3 exd5 9. Nd2 O-O 10. Ngf3 Re8+ 11. Be3 h6 12. O-O-O d4 13. Qc4 dxe3 14. fxe3 Bxe3 15. Nh4 Ng4 16. Ng6 Re6 17. Be4 Nf2 18. Rhf1 Nxd1 19. Bd5 Nb6 20. Qe4 Nxd5 21. Qxd5 Qxd5 0-1"
" Bullet ","ttrrookk","Efimka","1-0","2016.07.01","13:09:37","2175","2014","6.0","-7.0","E81","King's Indian Defense: Saemisch Variation, Normal Defense","60+0","Normal","1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 O-O 5. f3 d6 6. Be3 Na6 7. Bd3 c5 8. Nge2 h5 9. O-O Bd7 10. Rc1 Rb8 11. Qd2 Nb4 12. Rfd1 Nxd3 13. Qxd3 a6 14. dxc5 dxc5 15. Bxc5 Qc7 16. Bxe7 Rfe8 17. Bd6 1-0"
" Blitz ","athanathan","servet12","1-0","2016.07.01","13:09:35","1562","1555","10.0","-11.0","C47","Four Knights Game: Scotch Variation","300+0","Normal","1. e4 Nc6 2. Nf3 e5 3. Nc3 Nf6 4. d4 Bb4 5. d5 Bxc3+ 6. bxc3 Nb8 7. Nxe5 Nxe4 8. Qf3 Nf6 9. Bg5 d6 10. Bb5+ c6 11. dxc6 Nxc6 12. Nxc6 bxc6 13. Bxc6+ Bd7 14. Bxa8 Qe7+ 15. Be3 Bg4 16. Qc6+ Bd7 17. Qd5 Nxd5 18. Bxd5 O-O 19. O-O Be6 20. Bb3 Bxb3 21. axb3 Qf6 22. Bd4 Qg6 23. Rxa7 Qxc2 24. b4 Qb3 25. Rd7 h6 26. Rxd6 Qc4 27. Ra6 Qxa6 28. Rb1 Qb5 29. g3 Re8 30. h4 Qf5 31. Rb2 Re1+ 32. Kg2 Qe4+ 33. f3 Re2+ 34. Rxe2 Qxe2+ 35. Kh3 Qxf3 36. b5 f5 37. Be5 g5 38. h5 g4+ 39. Kh2 Qf2+ 40. Kh1 Qf1+ 41. Kh2 Qh3+ 42. Kg1 Kf7 43. b6 Ke6 44. b7 f4 45. b8=Q Qxg3+ 46. Kf1 Qf3+ 47. Ke1 Qe3+ 48. Kd1 Qxe5 49. Qb6+ Kf5 50. Qxh6 f3 51. Qd2 Ke6 52. Qf2 Qd5+ 53. Kc2 Qe4+ 54. Kb3 Qd5+ 55. Kc2 Qxh5 56. Qe3+ Kf5 57. Qc5+ Kf4 58. Qxh5 f2 59. Qh1 g3 60. Qg2 Kg4 61. Kd2 Kf4 62. Ke2 Kg4 63. Qf3+ Kg5 64. Qxg3+ Kf5 65. Qxf2+ Ke5 66. Qd4+ Ke6 67. c4 Kf5 68. c5 Kg6 69. c6 Kg5 70. c7 Kg6 71. c8=Q Kh5 72. Qcc5+ Kh6 73. Qdd6+ Kh7 74. Qcc7+ Kh8 75. Qdd8# 1-0"
" Bullet ","tebib","fragiaman","0-1","2016.07.01","13:09:36","1817","1929","-8.0","7.0","B23","Sicilian Defense: Closed","60+0","Time forfeit","1. e4 c5 2. Nc3 e6 3. Bc4 a6 4. a4 b6 5. d3 Bb7 6. Nge2 Ne7 7. O-O Ng6 8. Bf4 d6 9. Qd2 Be7 10. Bg3 Nc6 11. f4 Nd4 12. f5 exf5 13. exf5 Ne5 14. Bxe5 dxe5 15. Ne4 O-O 16. f6 Bxf6 17. Nxf6+ gxf6 18. Nc3 Kh8 19. Qh6 Rg8 20. Bxf7 Rg7 21. Rxf6 Qe7 22. Raf1 Bxg2 23. R1f2 Bh3+ 24. Kh1 Rag8 25. Qxg7+ Rxg7 26. Bh5 h6 27. Rf8+ Kh7 28. Bf3 Nxf3 0-1"
" Classical ","nietzschess","MarioCavaradossi","1-0","2016.07.01","13:09:27","1213","1304","71.0","-12.0","C70","Ruy Lopez: Morphy Defense, Caro Variation","1500+5","Normal","1. e4 { [%eval 0.32] } 1... e5 { [%eval 0.34] } 2. Nf3 { [%eval 0.32] } 2... Nc6 { [%eval 0.37] } 3. Bb5 { [%eval 0.28] } 3... a6 { [%eval 0.3] } 4. Ba4 { [%eval 0.08] } 4... b5 { [%eval 0.24] } 5. Bb3 { [%eval 0.21] } 5... Nf6 { [%eval 0.27] } 6. d4 { [%eval 0.16] } 6... d5?! { [%eval 0.94] } 7. Nxe5 { [%eval 1.05] } 7... Nxe4? { [%eval 3.12] } 8. Nxc6 { [%eval 2.84] } 8... Bd7?? { [%eval 11.53] } 9. Bxd5?? { [%eval 6.34] } 9... Bxc6?? { [%eval 11.86] } 10. Bxc6+ { [%eval 11.61] } 10... Ke7 { [%eval 12.13] } 11. Bg5+?? { [%eval 5.45] } 11... Nxg5 { [%eval 5.38] } 12. Bxa8? { [%eval 3.98] } 12... Qxa8 { [%eval 3.76] } 13. Qe2+?! { [%eval 3.2] } 13... Ne4?? { [%eval 7.06] } 14. f3 { [%eval 7.04] } 1-0"
" Blitz tournament ","bikash","shahramagai","0-1","2016.07.01","13:09:42","1553","2053","-1.0","1.0","C42","Russian Game: Urusov Gambit","180+2","Normal","1. e4 e5 2. Nf3 Nf6 3. Bc4 Bc5 4. d4 exd4 5. Nxd4 Nxe4 6. O-O d5 7. Bb3 O-O 8. c3 Nc6 9. Nd2 f5 10. N2f3 Na5 11. Bg5 Qe8 12. Bxd5+ Kh8 13. Ne6 Bxe6 14. Bxe6 Qxe6 15. Qe2 Nc4 16. Be3 Nxe3 17. fxe3 f4 18. Ng5 Bxe3+ 19. Rf2 Bxf2+ 20. Kf1 Qh6 21. Qxe4 Qxg5 22. Kxf2 Rae8 23. Qxb7 Qh4+ 24. Kf1 Qxh2 25. Qf3 Qh1+ 26. Kf2 Re3 27. Qxe3 fxe3+ 28. Kxe3 Qxa1 29. Kd4 Qxb2 30. Kc5 Qxa2 31. Kc6 Qxg2+ 32. Kxc7 Qc2 33. Kb7 Qxc3 34. Kxa7 Rf6 35. Kb7 Qe5 36. Ka7 Qe7+ 37. Ka8 Rf8# 0-1"
" Blitz ","Aramehdi","manjup710","0-1","2016.07.01","13:09:40","1509","1392","-15.0","15.0","B01","Scandinavian Defense: Mieses-Kotroc Variation","300+0","Time forfeit","1. e4 d5 2. exd5 Qxd5 3. Nf3 Nf6 4. Nc3 Qf5 5. Bd3 Qg4 6. Rg1 h5 7. h3 Qd7 8. Ne5 Qd6 9. Nc4 Qd4 10. Ne2 Qc5 11. b3 Bf5 12. Ba3 Qd5 13. Ne3 Qe5 14. Nc4 Qe6 15. Bxf5 Qxf5 16. Ng3 Qe6+ 17. Kf1 Ne4 18. Nxe4 Qxe4 19. d3 Qd4 20. Qf3 c6 21. Re1 e6 22. Bb2 Qc5 23. d4 Qd5 24. Qg3 Bb4 25. c3 Bf8 26. Qc7 Nd7 27. Qxb7 Rd8 28. Bc1 c5 29. Qxa7 cxd4 30. Rd1 Ra8 31. Qxd4 Rxa2 32. Bb2 Ra8 33. Qxd5 exd5 34. Rxd5 Rd8 35. f3 Be7 36. Kf2 Rh6 37. Re1 Re6 38. Rxe6 fxe6 39. Rxh5 Nf6 40. Rh8+ Kf7 41. Rxd8 Bxd8 42. Ne3 Nd7 43. Bc1 Ne5 44. g4 Ng6 45. h4 Ne5 46. Nf5 Ng6 47. Nxg7 Nxh4 48. Nh5 Ng6 0-1"
" Blitz tournament ","Serzh1956","Spiridon","1/2-1/2","2016.07.01","13:09:42","2166","2054","-4.0","4.0","A09","Reti Opening","180+2","Normal","1. Nf3 d5 2. c4 c6 3. e3 Nf6 4. Qc2 g6 5. a3 Bg7 6. d3 O-O 7. Nbd2 Re8 8. b4 e5 9. e4 dxe4 10. dxe4 a5 11. Rb1 axb4 12. axb4 Na6 13. Be2 Bf8 14. c5 Bg4 15. h3 Bxf3 16. Nxf3 Nh5 17. g3 b6 18. O-O bxc5 19. Bxa6 Rxa6 20. bxc5 Ra5 21. Be3 Qc8 22. Kg2 Ng7 23. Qc3 Ra4 24. Nd2 Ne6 25. Ra1 Rxa1 26. Qxa1 Nxc5 27. Rc1 Qd7 28. Qc3 Nd3 29. Qxc6 Qxc6 30. Rxc6 Ra8 31. Rc7 Ra1 32. Rd7 Ne1+ 33. Kh2 Kg7 34. h4 h5 35. Nc4 Nc2 36. Bg5 Nd4 37. Nxe5 Ne6 38. Be3 Ra3 39. Nc4 Rc3 40. Nd2 Bb4 41. Kg2 Kf8 42. Kf3 Rc5 43. Ke2 Rc6 44. Nf3 Rd6 45. Rxd6 Bxd6 46. Nd4 Nxd4+ 47. Bxd4 Ke7 48. f4 Ke6 49. Kf3 Bb4 50. Be3 Ba3 51. Bd4 Bb4 52. Bg7 Ba3 53. g4 hxg4+ 54. Kxg4 Bc1 55. f5+ gxf5+ 56. exf5+ Ke7 57. f6+ Ke6 58. h5 Bd2 59. h6 Bxh6 60. Bxh6 Kxf6 61. Kf4 Kg6 62. Bf8 f6 63. Be7 Kf7 64. Bxf6 1/2-1/2"
" Bullet ","ginka1978","N9NE","0-1","2016.07.01","13:09:42","1833","1801","-11.0","12.0","B23","Sicilian Defense: Closed Variation","60+0","Time forfeit","1. e4 c5 2. Nc3 b6 3. f4 Bb7 4. Nf3 Nc6 5. d3 g6 6. Be3 Bg7 7. Be2 Nf6 8. Qd2 O-O 9. h3 e6 10. O-O d5 11. g4 dxe4 12. Nxe4 Nxe4 13. dxe4 Qxd2 14. Nxd2 Nb4 15. c3 Nc2 16. Bf2 Nxa1 17. Rxa1 Rfd8 18. Be3 a5 19. e5 Ba6 20. Bf3 Rab8 21. Kf2 Bd3 22. Re1 f6 23. c4 fxe5 24. b3 exf4 25. Bxf4 Re8 26. Bxb8 Rxb8 27. Rxe6 Bc3 28. Ne4 Bb1 29. Nd6 Bxa2 30. Bd5 Bxb3 31. Re8+ Kg7 32. Rxb8 a4 33. Rxb6 a3 34. Ra6 a2 35. Rxa2 Bxa2 36. Nb7 Bb4 37. Kf3 Bb1 38. Kf4 Bd3 39. h4 Kf6 40. g5+ Kg7 41. Nd6 h6 42. Ne4 hxg5+ 43. hxg5 Kh7 44. Nf6+ Kg7 45. Ne4 Bxe4 46. Kxe4 Bc3 0-1"
" Blitz ","red0310","Aludox","0-1","2016.07.01","13:09:38","1323","1603","-32.0","4.0","A04","Zukertort Opening: Sicilian Invitation","300+0","Time forfeit","1. Nf3 c5 2. e3 e6 3. d4 cxd4 4. exd4 Nc6 5. c3 d5 6. Bb5 a6 7. a4 axb5 8. axb5 Rxa1 9. bxc6 Rxb1 10. cxb7 Bxb7 11. Nd2 Ra1 12. b3 Ba3 13. Qc2 Rxc1+ 14. Qxc1 Bxc1 15. Nb1 Qa5 0-1"
" Blitz ","marco960","danifdp","1-0","2016.07.01","13:09:33","1660","1671","11.0","-10.0","C42","Russian Game: Urusov Gambit","300+0","Normal","1. e4 e5 2. Bc4 Nf6 3. Nf3 h6 4. Bxf7+ Kxf7 5. Nxe5+ Kg8 6. O-O Qe8 7. d4 Nxe4 8. Qd3 Ng5 9. f4 Ne6 10. Ng6 Rh7 11. Nxf8 Qxf8 12. f5 Ng5 13. d5 d6 14. Nc3 Qf6 15. Nb5 Qf7 16. f6 a6 17. Nd4 c5 18. dxc6 Nxc6 19. fxg7 Rxg7 20. Rxf7 Rxf7 21. Nxc6 bxc6 22. Bxg5 hxg5 23. Qg6+ Rg7 24. Qxd6 Bf5 25. Qxc6 Rc8 26. Qd5+ Kh8 27. Qxf5 Kg8 1-0"
" Bullet ","walkitdown","orkhon","1-0","2016.07.01","13:09:33","1607","1220","3.0","-2.0","C00","French Defense: Knight Variation","60+0","Time forfeit","1. e4 { [%eval 0.2] } 1... e6 { [%eval 0.2] } 2. Nf3 { [%eval 0.16] } 2... d5 { [%eval 0.07] } 3. exd5 { [%eval 0.3] } 3... exd5 { [%eval 0.31] } 4. Qe2+?! { [%eval -0.25] } 4... Be7 { [%eval -0.44] } 5. Nc3 { [%eval -0.35] } 5... Nf6 { [%eval -0.53] } 6. b3?! { [%eval -1.12] } 6... c6?! { [%eval -0.32] } 7. Bb2?! { [%eval -1.06] } 7... b5?! { [%eval -0.46] } 8. Nd1 { [%eval -0.65] } 8... Nbd7? { [%eval 0.36] } 9. Ng5? { [%eval -1.21] } 9... Nc5?! { [%eval -0.33] } 10. g3 { [%eval -0.61] } 10... h6?! { [%eval 0.14] } 11. Nf3 { [%eval -0.19] } 11... O-O { [%eval -0.22] } 12. Bg2 { [%eval -0.18] } 12... Re8 { [%eval -0.24] } 13. O-O { [%eval -0.31] } 13... Bd6? { [%eval 0.69] } 14. Ne3?! { [%eval -0.25] } 14... d4? { [%eval 1.67] } 15. Qd1?? { [%eval -2.58] } 15... dxe3 { [%eval -2.66] } 16. dxe3 { [%eval -2.67] } 16... Nfe4?! { [%eval -2.17] } 17. Nd4?! { [%eval -2.93] } 17... Ng5? { [%eval -0.89] } 18. Nxc6? { [%eval -1.94] } 18... Qd7?! { [%eval -1.43] } 19. Nd4?! { [%eval -1.93] } 19... Bf8?? { [%eval 2.64] } 20. Bxa8 { [%eval 2.69] } 20... Bb7?! { [%eval 3.36] } 21. Bxb7 { [%eval 3.22] } 21... Nxb7 { [%eval 3.61] } 22. Qd3 { [%eval 3.54] } 22... Nf3+?? { [%eval 8.0] } 23. Nxf3 { [%eval 7.98] } 23... Qxd3 { [%eval 8.13] } 24. cxd3 { [%eval 8.2] } 24... Rd8 { [%eval 8.44] } 25. Rad1 { [%eval 8.0] } 25... Nc5?! { [%eval 8.5] } 26. d4 { [%eval 8.45] } 26... Ne4 { [%eval 8.51] } 27. Ne5 { [%eval 8.44] } 27... Ng5 { [%eval 8.9] } 28. Nc6 { [%eval 8.83] } 28... Nh3+? { [%eval 10.9] } 29. Kh1 { [%eval 9.67] } 29... Rd6 { [%eval 9.66] } 30. Nxa7?! { [%eval 8.89] } 30... Rf6? { [%eval 10.82] } 31. d5? { [%eval 7.77] } 31... Nxf2+ { [%eval 6.81] } 32. Kg2 { [%eval 6.59] } 32... Nxd1 { [%eval 6.29] } 33. Bxf6? { [%eval 4.79] } 33... gxf6?? { [%eval 13.91] } 34. Rxf6?? { [%eval 4.5] } 34... Bc5?? { [%eval 8.23] } 35. Nxb5 { [%eval 8.15] } 35... Nxe3+ { [%eval 8.16] } 36. Kf3 { [%eval 7.66] } 1-0"
